PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
115,10/3/21,15:24:37,1,1,"Perkins, Joey",1000113017,Left,VCU_RAM,"Ericsson, Nic",1000075164,Right,VCU_RAM,Undefined,3,Bottom,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.88838,-2.479897,2.192777,2072.119829,151.477451,11:00,6.27505,-0.85767,6.10334,-17.80812,18.86812,-9.62729,2.49458,0.36888,79.69444,-5.864342,0.458971,0.435877,,,,,,,,,,,,5.53961,10.75032,0.69393,50,6.0747,-4.4404,-126.10424,-5.95134,8.94632,24.94246,-14.81256,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,8b818310-247f-11ec-8991-0d548696f4f1,86.47494,,,7.19394,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:24:37,2021-10-03T15:24:37.4010000-04:00,2021-10-03T19:24:37.4010000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,f2093349-589a-4ff9-b01a-a976a6f829f0,54.3936,-126.97029,12.47123,6.27241,-5.43702,-7.40628,0.8535,-4.75103,4.47316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
116,10/3/21,15:24:52,1,2,"Perkins, Joey",1000113017,Left,VCU_RAM,"Ericsson, Nic",1000075164,Right,VCU_RAM,Undefined,3,Bottom,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.16595,-0.389228,0.13096,1452.900302,120.093499,10:00,6.24417,-0.86146,5.47058,-36.16262,9.0265,-13.15997,2.86637,-1.83557,72.77843,-7.033243,-2.214654,0.483825,,,,,,,,,,,,6.63579,5.10532,0.85899,50,6.18552,0.26255,-114.96518,-1.96389,8.8951,20.99825,-25.33051,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,944bb9c0-247f-11ec-8991-0d548696f4f1,77.90509,,,6.38752,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:24:52,2021-10-03T15:24:52.1600000-04:00,2021-10-03T19:24:52.1600000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,6830412a-bb11-4d6e-92f2-07f7102269c5,55.02629,-115.87959,10.49912,6.24702,-0.86082,-12.66526,0.85599,-0.1248,4.44755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
117,10/3/21,15:25:05,1,3,"Perkins, Joey",1000113017,Left,VCU_RAM,"Ericsson, Nic",1000075164,Right,VCU_RAM,Undefined,3,Bottom,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.54717,-1.926672,1.980374,2120.653594,152.453359,11:00,6.31613,-0.70338,5.91768,-19.14088,18.37166,-8.91859,2.93133,0.39196,78.70558,-5.564165,0.379562,0.440818,,,,,,,,,,,,5.10233,10.3293,0.54953,50,6.15075,-3.96303,-125.50447,-4.76509,8.09383,26.69312,-15.78871,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,9bdd2250-247f-11ec-8991-0d548696f4f1,85.50561,,,7.84159,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:25:05,2021-10-03T15:25:04.8810000-04:00,2021-10-03T19:25:04.8810000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,d1ea3d41-eb66-4cbf-8286-b5a9a74a8019,54.57676,-126.47413,13.34656,6.31344,-4.19154,-7.89435,0.69883,-4.25704,4.04692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
118,10/3/21,15:25:22,1,4,"Perkins, Joey",1000113017,Left,VCU_RAM,"Ericsson, Nic",1000075164,Right,VCU_RAM,Undefined,3,Bottom,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.53351,-1.41357,0.699326,1420.894445,106.307613,9:30,6.07147,-0.92136,6.03905,-37.93282,5.82996,-15.3867,1.60122,-1.55605,73.45815,-8.411089,-2.075519,0.476128,,,,,,,,,,,,8.08122,3.82831,0.87477,50,5.94095,-0.83961,-115.60181,-4.01244,10.96301,21.04562,-26.98053,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,a63d3b40-247f-11ec-8991-0d548696f4f1,79.16446,,,6.07537,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:25:22,2021-10-03T15:25:22.3130000-04:00,2021-10-03T19:25:22.3130000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,e62f5c67-c17c-48ec-9889-46ab23200e4b,54.45924,-116.4108,10.52281,6.07526,-2.97532,-13.49027,0.91514,-1.26102,5.4815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.61547,2.856575,1.430989,1.425586,-1.6488,1.13555,1.67147,-4.71801,5.49986,0.5217,73.10057,5.32589,-51.68154,-4.59983,59.84909,-3.73997,5.62404,20.0228,-14.17823,0.39849,-41.48441,3.46393,High,High,High,,,High,Medium,Medium
119,10/3/21,15:25:50,2,1,"Perkins, Joey",1000113017,Left,VCU_RAM,"Locklear, Tyler",1000113087,Right,VCU_RAM,Undefined,3,Bottom,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,78.85924,-0.472033,1.823577,1448.078694,107.562951,9:30,6.19942,-0.56978,6.28498,-37.52608,6.2617,-15.87639,2.63699,-0.21162,73.15743,-7.432252,-1.049985,0.476264,71.58528,-33.81839,-58.52975,,,,,4.70443,,-38.065888,0.04231,8.80386,3.72197,0.44322,50,6.14616,-3.11645,-114.75471,-2.01914,11.84861,19.38915,-27.16488,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,b6c60500-247f-11ec-8991-0d548696f4f1,79.14187,2.13115,,5.70181,,,,1.77709,2.47238,0.24719,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:25:50,2021-10-03T15:25:50.0770000-04:00,2021-10-03T19:25:50.0770000Z,GroundBall,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,91540c75-0da0-491f-9d14-a63c308cf0e7,54.2162,-115.46489,9.69457,6.2019,-1.02416,-13.58244,0.56531,-3.55044,5.9243,,1.77709,45.53768,,,,,,,,2.47238,-58.43435,,,,,,,,0.24719,-74.39742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
120,10/3/21,15:26:48,3,1,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.68312,-1.157242,0.48676,1818.838278,146.25078,11:00,6.28764,-0.63847,6.07012,-22.33186,16.56068,-10.19418,3.35561,-1.03755,77.06331,-5.387636,-1.349655,0.448853,,,,,,,,,,,,5.36323,9.25725,0.60593,50,6.18612,-0.6362,-122.95502,-3.1167,8.15909,25.79929,-18.09105,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,d92463d0-247f-11ec-8991-0d548696f4f1,83.97494,,,7.61981,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:26:48,2021-10-03T15:26:47.6610000-04:00,2021-10-03T19:26:47.6610000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,a9403645-9285-473c-895f-98f3906a9ce2,54.42519,-123.88006,12.89965,6.28624,-2.46804,-9.04553,0.63398,-0.92875,4.07954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
121,10/3/21,15:27:06,3,2,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.25465,-1.734682,2.171313,1977.500745,122.682277,10:00,6.28167,-0.6608,6.46667,-26.51021,11.41686,-15.76981,2.47767,0.02021,77.54849,-6.741509,-0.69101,0.443247,63.53327,34.435464,142.928676,3643.727202,-91.80767,28.85546,60.59167,162.27436,,148.406034,2.528057,8.93989,6.88949,0.51429,50,6.1475,-4.10707,-123.78038,-4.50072,13.73558,26.94252,-21.58876,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,e44f94f0-247f-11ec-8991-0d548696f4f1,85.03705,32.23733,,7.70616,,,,1.01149,2.42247,-0.0079,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:27:06,2021-10-03T15:27:06.4650000-04:00,2021-10-03T19:27:06.4650000Z,FlyBall,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,cae1a228-425b-4e5e-bf81-c4c8770186cf,54.03122,-124.65475,13.47126,6.28219,-3.8001,-10.79438,0.65481,-4.55283,6.86779,327.668076,1.01145,-61.31816,2.20769,0.23688,-0.20095,0.147,-0.06986,0.01957,-0.00228,2.42246,52.69293,-26.00894,2.97892,-0.67618,0.15649,-0.03913,0.00834,-0.00082,-0.00787,46.32586,-6.72848,1.00752,-0.0868,-0.08835,0.06002,-0.01823,0.0022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
122,10/3/21,15:27:34,3,3,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.80491,-2.124811,2.517935,1406.450556,113.833413,9:45,6.22311,-0.76842,6.17309,-38.02443,7.13674,-13.30973,1.08923,0.44939,72.58659,-9.12445,0.113335,0.483675,,,,,,,,,,,,7.56363,4.58717,0.58476,50,6.04255,-4.52123,-113.09174,-5.2967,9.91803,18.20944,-26.15896,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,f48bc550-247f-11ec-8991-0d548696f4f1,77.9292,,,5.21832,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:27:34,2021-10-03T15:27:33.5570000-04:00,2021-10-03T19:27:33.5570000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,83cd691d-508c-4ce7-bd60-800a43489239,54.32767,-113.78642,9.10472,6.22558,-4.29874,-13.07948,0.76447,-4.8996,4.95902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
123,10/3/21,15:27:51,3,4,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.06242,0.984799,0.378722,1495.069769,115.086694,9:45,6.20537,-0.71635,6.33597,-35.25577,8.47619,-15.32265,4.17423,-1.64454,72.70015,-5.609106,-2.394998,0.47596,,,,,,,,,,,,8.0291,4.57717,0.69533,50,6.26055,-0.21165,-114.98604,0.97999,10.78542,20.65755,-26.02555,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,fefbe3d0-247f-11ec-8991-0d548696f4f1,79.19239,,,6.36227,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:27:51,2021-10-03T15:27:51.1970000-04:00,2021-10-03T19:27:51.1970000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,e713d581-340f-4d92-8033-b98168a2da94,54.16178,-115.7313,10.32877,6.20826,1.91891,-13.01278,0.70999,-0.60075,5.39271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
124,10/3/21,15:28:11,3,5,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,2,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.5553,-1.143241,1.224617,1881.872378,130.291312,10:15,6.37301,-0.52192,6.29057,-25.57868,12.54812,-13.50347,3.18757,-0.51854,78.12657,-5.93659,-1.218553,0.444413,70.89484,18.017084,162.740986,1865.87354,-105.53809,11.36012,31.01004,146.51913,,164.122359,1.691188,7.36615,7.16477,0.43822,50,6.27635,-2.12995,-123.00991,-3.19896,11.38084,22.49398,-21.10435,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,0abe4be0-2480-11ec-8991-0d548696f4f1,84.81404,15.13243,,6.42873,,,,0.53845,3.08609,0.54889,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:28:11,2021-10-03T15:28:10.8600000-04:00,2021-10-03T19:28:10.8600000Z,LineDrive,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,00955d2d-fad6-41b4-a34d-18af4822946c,54.20897,-123.77718,11.24699,6.37319,-2.47908,-10.55218,0.51749,-2.51816,5.69042,335.613197,0.53848,-94.4301,6.51137,-0.30637,0.3448,-0.30335,0.16698,-0.03866,0.00124,3.0861,32.15977,-22.84889,2.01846,-0.2854,0.0515,-0.03665,0.02302,-0.00476,0.54888,29.33736,-4.08846,0.4784,-0.1538,0.10103,-0.0612,0.01683,-0.00105,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
125,10/3/21,15:28:36,3,6,"Perkins, Joey",1000113017,Left,VCU_RAM,"Gibbs, Casey",10027493,Right,VCU_RAM,Undefined,3,Bottom,1,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,78.87078,-2.01048,1.919521,1268.791424,115.167491,9:45,6.19483,-0.70162,5.96572,-37.96049,6.51024,-11.09469,1.16558,0.15422,73.23226,-8.98388,-0.078064,0.479964,85.47491,15.575458,-21.009321,1418.287932,101.51374,21.26236,-42.3653,239.33015,,-24.898827,2.564148,6.25496,4.22858,0.55588,50,6.0139,-3.44792,-114.60931,-5.17482,8.38118,19.71499,-26.50806,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,19884ea0-2480-11ec-8991-0d548696f4f1,78.53183,21.9176,,5.63852,,,,2.36954,1.34261,-0.16646,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:28:36,2021-10-03T15:28:35.7290000-04:00,2021-10-03T19:28:35.7290000Z,LineDrive,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,546e5de7-de04-4944-80e9-df1feb93cb0f,54.53464,-115.38672,9.85749,6.19735,-4.12955,-13.25403,0.69835,-3.77841,4.19059,143.985164,2.36951,112.73408,-18.25314,4.19802,-0.83481,0.12817,-0.01316,0.00063,3.00E-05,1.34266,33.6574,-13.97508,0.0539,0.1193,-0.01902,-0.0021,0.00184,-0.00025,-0.16649,-43.29262,1.51253,0.25699,-0.15751,0.03626,-0.00348,-0.00032,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
126,10/3/21,15:29:18,4,1,"Perkins, Joey",1000113017,Left,VCU_RAM,"Robinson, Jesse",1000064194,Right,VCU_RAM,Undefined,3,Bottom,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.95051,-1.634976,1.182235,1806.907281,129.934389,10:15,6.28773,-0.66286,5.87997,-23.8884,13.16013,-14.28351,2.77794,-0.75509,79.46054,-6.104934,-1.382401,0.438083,,,,,,,,,,,,7.63252,7.56662,0.57558,50,6.14193,-2.01271,-126.23925,-4.35954,12.28382,26.3397,-19.99625,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,32dc3970-2480-11ec-8991-0d548696f4f1,86.03941,,,7.48997,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:29:18,2021-10-03T15:29:18.2260000-04:00,2021-10-03T19:29:18.2260000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,85fbd6d7-1948-44a2-b577-f812ea711482,54.61724,-127.19898,13.16985,6.2875,-3.63094,-9.99812,0.65708,-2.46029,6.14191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
127,10/3/21,15:29:38,4,2,"Perkins, Joey",1000113017,Left,VCU_RAM,"Robinson, Jesse",1000064194,Right,VCU_RAM,Undefined,3,Bottom,1,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.06333,-1.795399,2.888501,1851.525115,131.915504,10:30,6.24824,-0.59477,6.17546,-22.97237,13.32603,-13.62753,2.67314,0.93944,80.16404,-6.104868,0.431589,0.433626,,,,,,,,,,,,7.77272,7.70406,0.38283,50,6.10051,-5.83529,-126.42204,-4.6577,12.66235,24.18067,-19.62354,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,3e55ffc0-2480-11ec-8991-0d548696f4f1,86.92386,,,6.89929,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:29:38,2021-10-03T15:29:37.5090000-04:00,2021-10-03T19:29:37.5090000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,75cbba1b-0b49-40ee-b0de-3bd975f9ee73,54.32255,-127.24613,12.09034,6.24785,-3.98892,-9.81177,0.58905,-6.26682,6.33118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
128,10/3/21,15:30:09,4,3,"Perkins, Joey",1000113017,Left,VCU_RAM,"Robinson, Jesse",1000064194,Right,VCU_RAM,Undefined,3,Bottom,1,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,85.52893,-1.351051,2.515014,1818.237037,134.875811,10:30,6.37013,-0.54424,5.98918,-24.85478,13.04213,-11.94316,3.04535,0.79283,78.66259,-5.995274,0.368619,0.443071,96.77829,1.533203,8.388512,1835.893549,,,,67.4936,,9.393752,0.502882,6.83985,7.41792,0.35257,50,6.24972,-4.98934,-124.22392,-3.69891,10.7383,23.78876,-20.52825,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,5124e8f0-2480-11ec-8991-0d548696f4f1,85.07088,3.11244,,6.86634,,,,0.95021,2.93446,-0.84095,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:30:09,2021-10-03T15:30:09.0530000-04:00,2021-10-03T19:30:09.0530000Z,GroundBall,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,4adc1bb2-2ddb-465b-90ff-0988d3b22f3b,54.50988,-125.08458,11.89438,6.37011,-2.95622,-10.26413,0.54011,-5.37784,5.36915,290.601232,0.96619,139.94609,-18.85885,,,,,,,2.94698,3.46354,-18.58747,,,,,,,-0.85146,20.98171,5.24397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
129,10/3/21,15:32:54,1,1,"Dressler, Cade",10027961,Left,VCU_RAM,"Carlone, Will",1000113089,Right,VCU_RAM,Undefined,4,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.67077,-1.106363,3.207234,2222.769781,162.092608,11:30,5.98549,-2.13789,6.64043,-18.84009,18.19048,-5.50059,3.401,0.3427,78.36965,-4.725364,2.208399,0.437977,,,,,,,,,,,,3.77295,10.23406,1.92323,50,5.90261,-6.76762,-124.39757,-2.86006,5.91465,24.85454,-16.13066,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,b335bce0-2480-11ec-8991-0d548696f4f1,86.06029,,,7.30112,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:32:54,2021-10-03T15:32:53.5350000-04:00,2021-10-03T19:32:53.5350000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,c7e447d9-cb94-42d2-ad41-aaee69044657,53.85615,-125.16565,12.42727,5.98329,-2.36157,-8.06533,2.1352,-6.95041,2.95732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
130,10/3/21,15:33:06,1,2,"Dressler, Cade",10027961,Left,VCU_RAM,"Carlone, Will",1000113089,Right,VCU_RAM,Undefined,4,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.28342,3.319189,0.198811,2152.979683,300.267153,4:00,5.80715,-1.96332,5.71687,-56.98204,-3.21563,8.2728,4.15402,-1.08872,66.43153,-7.12754,1.67813,0.527748,,,,,,,,,,,,-4.1265,-1.98134,1.94161,50,6.04983,-0.65832,-104.90086,4.35769,-4.60986,17.32097,-34.38745,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,baf7ab50-2480-11ec-8991-0d548696f4f1,71.42123,,,5.85189,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:33:06,2021-10-03T15:33:06.4350000-04:00,2021-10-03T19:33:06.4350000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,5ca49be7-e831-4a96-bedd-9098788421b5,54.78258,-105.6876,8.66049,5.81642,5.91961,-17.19373,1.96676,-0.44894,-2.30493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
131,10/3/21,15:33:17,1,3,"Dressler, Cade",10027961,Left,VCU_RAM,"Carlone, Will",1000113089,Right,VCU_RAM,Undefined,4,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.1775,-2.049808,3.086939,2011.475561,165.857577,11:30,5.81692,-2.02567,6.62073,-21.38584,17.87899,-4.19638,2.15414,0.45422,76.39326,-6.123379,2.324889,0.450996,98.04247,25.540093,12.406833,3751.072977,106.27401,50.15661,28.38498,357.51647,,21.729739,4.770614,3.0689,10.36989,1.81781,50,5.66862,-6.36885,-120.78029,-4.85818,4.54114,23.14373,-16.8295,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,c1412a90-2480-11ec-8991-0d548696f4f1,83.57592,71.726,,6.78424,,,,1.47802,2.21043,-0.42438,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:33:17,2021-10-03T15:33:17.0790000-04:00,2021-10-03T19:33:17.0790000Z,FlyBall,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,e1a06fe4-ea86-4da9-9549-eb4edbf9ea7f,53.87784,-121.52108,11.57187,5.8155,-4.31949,-8.41475,2.02399,-6.5142,2.27057,206.596282,1.47796,126.71735,-27.36479,6.63623,-1.4445,0.30134,-0.05481,0.00663,-0.00035,2.21245,61.9471,-13.83835,-0.5482,0.58404,-0.25992,0.06739,-0.00895,0.00047,-0.42463,27.88116,1.66737,-0.95955,0.26442,-0.04963,0.00642,-0.00052,2.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
132,10/3/21,15:33:52,2,1,"Dressler, Cade",10027961,Left,VCU_RAM,"Boone, Griffin",1000093861,Right,VCU_RAM,Undefined,4,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.1124,-3.362649,1.690008,2223.702413,143.669282,10:45,5.93324,-2.13018,6.54694,-21.06111,15.68395,-10.68505,1.0896,-1.47036,79.1905,-7.34734,-0.252639,0.436285,,,,,,,,,,,,6.06339,9.50973,2.01751,50,5.6913,-3.29252,-125.01381,-7.90734,9.61577,24.70528,-17.09284,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,d5f21a30-2480-11ec-8991-0d548696f4f1,86.39398,,,6.9219,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:33:52,2021-10-03T15:33:51.8070000-04:00,2021-10-03T19:33:51.8070000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,758766f7-8cd7-4afd-9da7-e612839b8bf6,53.95085,-125.79216,12.35264,5.93194,-7.36883,-8.54642,2.12601,-3.59546,4.80788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
